nombre;direccion
Instituto Nacional de Medicina Genómica (INMEGEN);Periférico Sur 4809, Col. Arenal Tepepan, Alcaldía Tlalpan, C.P. 14610 CDMX
Enseña por México A.C.;Londres 241, Juárez, Cuauhtémoc, 06600, CDMX
De la O & Asociados Diseño S.A. de C.V.;Río Nilo 61, Alcaldía Cuahutémoc
Lab. de Apicomplexas, UNAM;Circuito Interior, Ciuedad Universitaria, Av. Universidad 3000, CP 04510.
Editorial De Otro Tipo;1ra Cerrada de Mariano Abasolo No. 10B Col. Santa María Tepepan, Xochimilco. C.P. 16020
Hospital Infantil de México Federico Gómez;Dr. Márquez 162, Col. Doctores, Alcadía Cuauhtémoc
Instituto Nacional de Antropología e Historia (INAH);Córdoba 47, Col. Roma Norte, Alcaldía Cuahutémoc.
Barroso Mayorga & Asociados;Lateral de la Recta Cholula, 7915, Local 104, Sta Cruz Buenavista, 72150 Puebla, Pue.
Hello México;Camino de la Secretaría A, No. Ext. 77, Campestre Aragón, GAM, CDMX.
Editorial Modernidades;Montecito 38, piso 9, World Trade Center, Ciudad de México
Sin Fronteras I.A.P.;Carlos Dolci 96, Alfonso XIII, C.P. 01460, Álvaro Obregón, CDMX
Escuela de Diseño Aplicado a la Indumentaria y Moda;José María Morelos #87, Col. San Lucas Tepetlacalco, 54055, Estado de México
Instituto Nacional de Geriatría (INGER);"Av. Contreras 428, Col. San Jerónimo Lídice,
Alcaldía La Magdalena Contreras, Ciudad de México C.P. 10200"
Nosótrikas Tik.-Tank;Serapio Rendón 63, oficina 1, Col. San Rafael, Ciudad de México, Alcaldía Cuauhtémoc, C.P. 06470
The Anglo Mexican Foundation;
Instituto para Devolver al Pueblo lo Robado (INDEP);Av. Insurgentes Sur 1931, Colonia Guadalupe Inn, CP. 01020
Ethos Laboratorio de Políticas Públicas A.C.;Montes Urales  No. 24, Col. Lomas de Chapultepec, C.P. 11000
Merka Med Desechables S.A. de C.V.;Manuel Acuña 80, Jacarandas, Iztapalapa, 09280 Ciudad de México, CDMX.
UNIMEDIOS;Santa Fe 505, Piso 16 
Discierne;Insurgentes Sur 682, int 703 B, Col del Valle.
Resa y Asociados S.C.;Insurgentes sur 1605 piso 12 Col. San José Insurgentes
Educación para Compartir A.C.;Av. Patriotismo 889 piso 8, Insurgentes Mixcoac, Benito Juárez, CDMX, 03920
Vanglar SAPI de CV;Av. Patriotismo 767, piso 6, San Juan, 03730, Ciudad de México, CDMX.
Desarrollo Educativo Sueniños A.C.;Periferico Norte #1D Col. Ojo Agua C.P. 29210 San Cristobal de las Casas, Chiapas.
Publimetro Querétaro;Av. Salvación 791 Int. 103 Plaza Levant Torre C, Menchaca 76147.
IDHEAS, Litigio Estratégico en derechos humanos, A.C.;Calle 21, 77. San Pedro de Los Pinos. Benito Juárez, CDMX, 03800.
